"","clay_summary_geo[, 1]","mean","median","var"
"406","1400000US06037192420",11.4166666666667,11,41.0742459396752
"407","1400000US06037192510",10.8943661971831,11,40.3676387738194
"408","1400000US06037192620",7.99672131147541,9,29.5822260569456
"409","1400000US06037194401",38.7203389830508,43,138.999755402722
"410","1400000US06037194500",26.330985915493,43,307.171165654325
"411","1400000US06037195600",17.2015503875969,14,251.931364052193
"412","1400000US06037195803",17.7006237006237,14,249.59352044352
"413","1400000US06037195902",11.9816091954023,13,101.050352243233
"414","1400000US06037199201",10.9858585858586,5,139.001823907087
"415","1400000US06037199700",12.7241379310345,11,18.3429008585272
"416","1400000US06037201200",18.2840236686391,18,91.3262857543794
"417","1400000US06037201402",15.2634364820847,16,102.717945660322
"418","1400000US06037201601",14.430412371134,16,49.1048287329564
"419","1400000US06037203200",18.5595054095827,16,204.184921117231
"420","1400000US06037203710",18.3061797752809,16,228.714440576041
"421","1400000US06037204110",8.7630890052356,11,21.3264994887911
"422","1400000US06037204410",20.7593582887701,19.5,295.244885377987
"423","1400000US06037204820",8.13054187192118,11,25.4174846439214
"424","1400000US06037205110",10.3602305475504,11,10.2137895420699
"425","1400000US06037206300",15.9755784061697,8,202.901590720357
"426","1400000US06037207302",17.1717791411043,21,40.1550165172251
"427","1400000US06037207710",11.4884726224784,11,48.5759304700502
"428","1400000US06037208301",23,20,259.129032258065
"429","1400000US06037208501",29.2532894736842,43,305.635302675004
"430","1400000US06037208710",10.1756756756757,11,97.4305368717133
"431","1400000US06037208902",26.0811965811966,24,309.800245772349
"432","1400000US06037209103",32,43,279.51282051282
"433","1400000US06037209401",9.309963099631,9,39.2220855541889
"434","1400000US06037209520",7.18367346938776,9,15.4883332172459
"435","1400000US06037210010",10.6304761904762,11,35.832657215558
"436","1400000US06037211122",9.95578947368421,11,30.4685054408172
"437","1400000US06037211320",9.19230769230769,11,31.6667216903268
"438","1400000US06037211703",12.2703862660944,11,34.8188175225692
"439","1400000US06037211803",9.8021978021978,11,37.485520004857
"440","1400000US06037211921",9.64462809917355,11,21.5643250688705
"441","1400000US06037232700",8.48920086393089,8,19.912856225556
"442","1400000US06037232800",9.08888888888889,8,39.995794681509
"443","1400000US06037234000",6.19769673704415,8,8.78739545982929
"444","1400000US06037234200",7.39307897071872,7,15.0132025008629
"445","1400000US06037234300",11.3034227567068,6,150.402293829445
"446","1400000US06037234800",9.79036144578313,9,23.6182423299955
"447","1400000US06037235201",10.6346863468635,11,42.6681057204661
"448","1400000US06037236202",29.0656028368794,43,326.796754342869
"449","1400000US06037237101",8,8,0
"450","1400000US06037237401",8,8,0
"451","1400000US06037237710",8,8,0
