"","V1"
"1",18.6462063086104
"2",26.2131147540984
"3",39.1025447215923
"4",48.7881241565452
"5",81.2175883952856
"6",68.8681706027494
"7",39.1037470725995
"8",24.906446092413
"9",26.5486725663717
"10",24.4461795872839
"11",20.3928571428571
"12",11.6028151774786
"13",14.9731481481481
"14",28.4684365781711
"15",12.8372093023256
"16",26.7417355371901
"17",33.2162547528517
"18",21.9098005203816
"19",12.3717171717172
"20",12.1385911179173
"21",13.1086572438163
"22",15.5812728009728
"23",18.1906556141673
"24",17.0076612903226
"25",14.1530906990179
"26",22.8388245770258
"27",18.2058139534884
"28",17.4714167357084
"29",26.124090386825
"30",31.9684796044499
"31",25.042641872395
"32",37.6167577413479
"33",33.1686182669789
"34",28.504113345521
"35",29.9607645875252
"36",36.4877222692633
"37",29.4260528893242
"38",46.1809133489461
"39",11.5355042966983
"40",35.5950782997763
"41",50.8440111420613
"42",48.1709055587793
"43",35.9311174145441
"44",66.7114649681529
"45",44.1584594714141
"46",52.4579006043187
"47",37.4595521849043
"48",39.1753598514162
"49",44.563185841712
"50",43.9800315439644
"51",37.5491578535057
"52",52.5522302948382
"53",69.6917808219178
"54",68.1234051036683
"55",66.8562457950213
"56",68.4591715976331
"57",70.4226276204193
"58",60.0813257206517
"59",68.5366863905325
"60",75.4692307692308
"61",38.8005545556258
"62",33.8166118421053
"63",26.1339449541284
"64",30.5797297297297
"65",27.5668604651163
"66",12.2638138761944
"67",18.5916230366492
"68",35.9132004394914
"69",43.1058558558559
"70",25.6179256179256
"71",50.7557106598985
"72",46.4020618556701
"73",60.4183616775364
"74",52.0083810522895
"75",44.8068995328345
"76",46.7770700636943
"77",39.0012908777969
"78",40.2820306204674
"79",49.2313600599475
"80",36.4657337639038
"81",45.8861468632045
"82",44.8973134275257
"83",44.6294579520847
"84",49.2939618059388
"85",43.6394446138889
"86",40.4673158633419
"87",42.8897064367552
"88",45.0759515281142
"89",55.4923581596864
"90",29.085670640458
"91",30.0949966359466
"92",75.2678308436777
"93",18.0454046136946
"94",68.4884868421053
"95",25.9566300532216
"96",22.428981348637
"97",23.9558823529412
"98",54.1983084977849
"99",22.48055028463
"100",27.0348682963805
"101",20.2840735068913
"102",21.9341816586222
"103",7.63757165190203
"104",41.0572979493366
"105",24.7538041357784
"106",21.3053333333333
"107",21.9761150377772
"108",38.6358347876672
"109",28.0275330396476
"110",26.5571757482732
"111",16.6350314026518
"112",11.9318374259102
"113",21.3275793387332
"114",18.5885430290348
"115",29.5969121635719
